id,license_author,status,image,is_main,license,exercise
205,Everkinetic,2,https://wger.de/media/exercise-images/242/Incline-biceps-curl-1.png,True,1,242
207,Everkinetic,2,https://wger.de/media/exercise-images/13/Standing-calf-raises-1.png,True,1,13
209,Everkinetic,2,https://wger.de/media/exercise-images/244/Close-grip-front-lat-pull-down-2.png,True,1,244
103,Everkinetic,2,https://wger.de/media/exercise-images/73/Dumbbell-decline-flys-1.png,False,1,73
122,Everkinetic,2,https://wger.de/media/exercise-images/113/Walking-lunges-2.png,False,1,113
123,Everkinetic,2,https://wger.de/media/exercise-images/113/Walking-lunges-3.png,False,1,113
124,Everkinetic,2,https://wger.de/media/exercise-images/113/Walking-lunges-4.png,False,1,113
172,Everkinetic,2,https://wger.de/media/exercise-images/119/seated-barbell-shoulder-press-large-2.png,False,1,119
174,Everkinetic,2,https://wger.de/media/exercise-images/123/dumbbell-shoulder-press-large-2.png,False,1,123
176,Everkinetic,2,https://wger.de/media/exercise-images/152/seated-shoulder-press-machine-large-2.png,False,1,152
178,Everkinetic,2,https://wger.de/media/exercise-images/148/lateral-dumbbell-raises-large-1.png,False,1,148
180,Everkinetic,2,https://wger.de/media/exercise-images/154/lying-leg-curl-machine-large-2.png,False,1,154
182,Everkinetic,2,https://wger.de/media/exercise-images/117/seated-leg-curl-large-2.png,False,1,117
184,Everkinetic,2,https://wger.de/media/exercise-images/118/standing-leg-curls-large-2.png,False,1,118
186,Everkinetic,2,https://wger.de/media/exercise-images/22/lying-leg-curl-machine-large-2.png,False,1,22
188,Everkinetic,2,https://wger.de/media/exercise-images/133/seated-leg-curl-large-2.png,False,1,133
190,Everkinetic,2,https://wger.de/media/exercise-images/231/Standing-biceps-curl-2.png,False,1,231
192,Everkinetic,2,https://wger.de/media/exercise-images/232/Triceps-kickback-2.png,False,1,232
194,Everkinetic,2,https://wger.de/media/exercise-images/228/Arnold-press-1.png,False,1,228
196,wger.de,2,https://wger.de/media/exercise-images/53/Shoulder-press-machine-1.png,False,1,53
198,wger.de,2,https://wger.de/media/exercise-images/241/Dumbbell-shoulder-press-1.png,False,1,241
200,Everkinetic,2,https://wger.de/media/exercise-images/266/Seated-military-shoulder-press-1.png,False,1,266
202,Everkinetic,2,https://wger.de/media/exercise-images/20/Dumbbell-lateral-raises-2_LxObAQ4.png,False,1,20
204,Everkinetic,2,https://wger.de/media/exercise-images/47/Lying-rear-lateral-raise-1.png,False,1,47
206,Everkinetic,2,https://wger.de/media/exercise-images/242/Incline-biceps-curl-2.png,False,1,242
208,Everkinetic,2,https://wger.de/media/exercise-images/13/Standing-calf-raises-2.gif,False,1,13
210,Everkinetic,2,https://wger.de/media/exercise-images/244/Close-grip-front-lat-pull-down-1.png,False,1,244
